Reference, Value, OrderLink
U2,LDO_SPX3819,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275258&uq=636276384097700233
J1,ACin,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275253&uq=636276384097700233
U5,ESP-12F,http://www.gearbest.com/transmitters-receivers-module/pp_227650.html
D3,LED,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275247&uq=636276384097700233
D2,LED,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275247&uq=636276384097700233
R7,122,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275251&uq=636276384097700233
C1,10uF,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275264&uq=636276384097700233
C8,0.1uF,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275262&uq=636276384097700233
C7,1uF,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275264&uq=636276384097700233
J2,ACout,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275253&uq=636276384097700233
J3,FTDI_CON,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275250&uq=636276384097700233
Q2,MMBT3904_BEC,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275260&uq=636276384097700233
R6,1k,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275249&uq=636276384097700233
R5,1k,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275249&uq=636276384097700233
C2,0.1uF,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275262&uq=636276384097700233
C3,1uF,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275264&uq=636276384097700233
C4,0.1uF,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275262&uq=636276384097700233
D1,D,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275261&uq=636276384097700233
U3,AC2DC,http://www.ebay.com/itm/321910440165?_trksid=p2060353.m2749.l2649&ssPageName=STRK%3AMEBIDX%3AIT
U1,SRD-5VDC,http://www.ebay.com/itm/182396002625?_trksid=p2060353.m2749.l2649&ssPageName=STRK%3AMEBIDX%3AIT
Q1,MMBT3904_BEC,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275260&uq=636276384097700233
R3,100k,https://www.digikey.com/product-detail/en/yageo/RC0603JR-07100KL/311-100KGRCT-ND/729645
C6,0.1uF,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275262&uq=636276384097700233
R1,10k,https://www.digikey.com/product-detail/en/yageo/RC0603JR-0710KL/311-10KGRCT-ND/729647
C5,0.1uF,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=225275262&uq=636276384097700233
R2,10k,https://www.digikey.com/product-detail/en/yageo/RC0603JR-0710KL/311-10KGRCT-ND/729647
U6,mic,https://www.digikey.com/product-detail/en/cui-inc/CMA-4544PF-W/102-1721-ND/1869981
R4,100k,https://www.digikey.com/product-detail/en/yageo/RC0603JR-07100KL/311-100KGRCT-ND/729645
U4,S,https://www.digikey.com/product-detail/en/cw-industries/GPTS203211B/CW181-ND/3190590
